word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,char_freq_$,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
1.5137,2.8159,6.5504,3.2063,0.5532,0.8791,1.0,2.31,56,99,0
2.7282,3.3177,1.4234,2.9066,1.4556,2.2521,1.0,6.33,64,195,0
0.2524,0.2521,0.8154,0.8517,2.073,3.7233,0.6469,7.98,26,110,1
0.062,0.4064,2.0215,1.3657,0.8021,0.5367,1.0,11.33,38,66,0
1.1054,3.9071,3.3085,1.4933,0.3631,1.9053,1.0,6.37,19,49,1
2.7355,2.778,0.0919,2.3351,3.2227,0.121,1.0,8.58,34,19,1
2.3466,1.4692,0.2393,2.945,0.3481,3.1911,0.9323,21.14,8,88,1
0.8081,2.2669,4.7747,1.141,0.6297,0.94,0.5126,9.0,62,98,0
1.0756,0.1379,0.9496,1.3106,1.1118,1.7465,1.0,4.23,19,41,0
0.6278,2.2169,2.0063,0.0797,2.4701,1.2736,1.0,23.94,65,62,0
1.7708,0.7644,0.2153,0.0432,3.0361,3.0055,1.0,31.47,11,3,0
0.7101,1.8137,0.1892,4.3309,2.1299,1.8842,1.0,26.34,43,83,0
3.1871,0.6014,3.7831,2.3848,0.3913,0.2019,1.0,19.04,1,7,0
3.1086,1.5933,0.8695,0.3268,0.9706,0.7505,0.6272,2.59,29,35,1
0.4536,1.2124,2.4382,1.4205,0.2375,1.5066,1.0,2.38,67,83,0
0.8477,1.4633,4.3732,3.7491,1.2726,0.7807,0.997,25.54,2,177,0
3.5678,1.308,1.7092,2.4692,2.1372,1.7825,0.2907,5.15,16,50,0
1.7665,1.6317,2.3906,3.8136,3.3055,1.2984,1.0,30.93,20,71,1
1.948,2.5375,3.2395,0.9025,2.3233,0.2131,1.0,26.71,69,69,0
2.028,1.8175,0.6254,1.4188,0.3313,0.1182,1.0,0.54,21,77,0
0.6682,2.0449,0.2856,3.2344,0.693,1.385,1.0,10.19,22,98,0
1.6499,1.4651,0.9321,1.9128,4.868,5.1617,1.0,42.8,13,48,0
1.8206,1.5189,0.5381,3.0726,1.4961,1.7533,1.0,2.8,25,129,0
0.4619,3.1268,2.2826,0.72,0.7408,0.8761,1.0,4.26,11,11,1
1.0963,0.1353,0.2449,0.4618,1.0005,1.1104,1.0,8.7,31,54,1
1.5384,3.9403,0.9094,0.9199,2.499,1.6279,0.2005,26.08,29,117,0
2.7959,2.5653,1.8621,1.4572,1.2105,2.0261,1.0,11.18,19,32,0
